
file1     file2
---------------------------------------
    x      x    /              
    x      x    /big           

group  : </> and </>
0 differences found
dataset: </big> and </big>
size:           [1073741824]           [1073741824]
[ 268436269 ]          31              0               31             
[ 268436270 ]          31              0               31             
[ 268436271 ]          31              0               31             
[ 268436272 ]          31              0               31             
[ 268436273 ]          31              0               31             
[ 268436274 ]          31              0               31             
[ 268436275 ]          31              0               31             
[ 268436276 ]          31              0               31             
[ 268436277 ]          31              0               31             
[ 268436278 ]          31              0               31             
[ 268436279 ]          31              0               31             
[ 268436280 ]          31              0               31             
[ 268436281 ]          31              0               31             
[ 268436282 ]          31              0               31             
[ 268436283 ]          31              0               31             
[ 268436284 ]          31              0               31             
[ 268436285 ]          31              0               31             
[ 268436286 ]          31              0               31             
[ 268436287 ]          31              0               31             
[ 268436288 ]          31              0               31             
[ 268436289 ]          31              0               31             
[ 268436290 ]          31              0               31             
[ 268436291 ]          31              0               31             
[ 268436292 ]          31              0               31             
[ 268436293 ]          31              0               31             
[ 268436294 ]          31              0               31             
[ 268436295 ]          31              0               31             
[ 268436296 ]          31              0               31             
[ 268436297 ]          31              0               31             
[ 268436298 ]          31              0               31             
[ 268436299 ]          31              0               31             
[ 268436300 ]          31              0               31             
[ 268436301 ]          31              0               31             
[ 268436302 ]          31              0               31             
[ 268436303 ]          31              0               31             
[ 268436304 ]          31              0               31             
[ 268436305 ]          31              0               31             
[ 268436306 ]          31              0               31             
[ 268436307 ]          31              0               31             
[ 268436308 ]          31              0               31             
[ 268436309 ]          31              0               31             
[ 268436310 ]          31              0               31             
[ 268436311 ]          31              0               31             
[ 268436312 ]          31              0               31             
[ 268436313 ]          31              0               31             
[ 268436314 ]          31              0               31             
[ 268436315 ]          31              0               31             
[ 268436316 ]          31              0               31             
[ 268436317 ]          31              0               31             
[ 268436318 ]          31              0               31             
[ 268436319 ]          31              0               31             
[ 268436320 ]          31              0               31             
[ 268436321 ]          31              0               31             
[ 268436322 ]          31              0               31             
[ 268436323 ]          31              0               31             
[ 268436324 ]          31              0               31             
[ 268436325 ]          31              0               31             
[ 268436326 ]          31              0               31             
[ 268436327 ]          31              0               31             
[ 268436328 ]          31              0               31             
[ 268436329 ]          31              0               31             
[ 268436330 ]          31              0               31             
[ 268436331 ]          31              0               31             
[ 268436332 ]          31              0               31             
[ 268436333 ]          31              0               31             
[ 268436334 ]          31              0               31             
[ 268436335 ]          31              0               31             
[ 268436336 ]          31              0               31             
[ 268436337 ]          31              0               31             
[ 268436338 ]          31              0               31             
[ 268436339 ]          31              0               31             
[ 268436340 ]          31              0               31             
[ 268436341 ]          31              0               31             
[ 268436342 ]          31              0               31             
[ 268436343 ]          31              0               31             
[ 268436344 ]          31              0               31             
[ 268436345 ]          31              0               31             
[ 268436346 ]          31              0               31             
[ 268436347 ]          31              0               31             
[ 268436348 ]          31              0               31             
[ 268436349 ]          31              0               31             
[ 268436350 ]          31              0               31             
[ 268436351 ]          31              0               31             
[ 268436352 ]          31              0               31             
[ 268436353 ]          31              0               31             
[ 268436354 ]          31              0               31             
[ 268436355 ]          31              0               31             
[ 268436356 ]          31              0               31             
[ 268436357 ]          31              0               31             
[ 268436358 ]          31              0               31             
[ 268436359 ]          31              0               31             
[ 268436360 ]          31              0               31             
[ 268436361 ]          31              0               31             
[ 268436362 ]          31              0               31             
[ 268436363 ]          31              0               31             
[ 268436364 ]          31              0               31             
[ 268436365 ]          31              0               31             
[ 268436366 ]          31              0               31             
[ 268436367 ]          31              0               31             
[ 268436368 ]          31              0               31             
[ 268436369 ]          31              0               31             
[ 268436370 ]          31              0               31             
[ 268436371 ]          31              0               31             
[ 268436372 ]          31              0               31             
[ 268436373 ]          31              0               31             
[ 268436374 ]          31              0               31             
[ 268436375 ]          31              0               31             
[ 268436376 ]          31              0               31             
[ 268436377 ]          31              0               31             
[ 268436378 ]          31              0               31             
[ 268436379 ]          31              0               31             
[ 268436380 ]          31              0               31             
[ 268436381 ]          31              0               31             
[ 268436382 ]          31              0               31             
[ 268436383 ]          31              0               31             
[ 268436384 ]          31              0               31             
[ 268436385 ]          31              0               31             
[ 268436386 ]          31              0               31             
[ 268436387 ]          31              0               31             
[ 268436388 ]          31              0               31             
[ 268436389 ]          31              0               31             
[ 268436390 ]          31              0               31             
[ 268436391 ]          31              0               31             
[ 268436392 ]          31              0               31             
[ 268436393 ]          31              0               31             
[ 268436394 ]          31              0               31             
[ 268436395 ]          31              0               31             
[ 268436396 ]          31              0               31             
[ 268436397 ]          31              0               31             
[ 268436398 ]          31              0               31             
[ 268436399 ]          31              0               31             
[ 268436400 ]          31              0               31             
[ 268436401 ]          31              0               31             
[ 268436402 ]          31              0               31             
[ 268436403 ]          31              0               31             
[ 268436404 ]          31              0               31             
[ 268436405 ]          31              0               31             
[ 268436406 ]          31              0               31             
[ 268436407 ]          31              0               31             
[ 268436408 ]          31              0               31             
[ 268436409 ]          31              0               31             
[ 268436410 ]          31              0               31             
[ 268436411 ]          31              0               31             
[ 268436412 ]          31              0               31             
[ 268436413 ]          31              0               31             
[ 268436414 ]          31              0               31             
[ 268436415 ]          31              0               31             
[ 268436416 ]          31              0               31             
[ 268436417 ]          31              0               31             
[ 268436418 ]          31              0               31             
[ 268436419 ]          31              0               31             
[ 268436420 ]          31              0               31             
[ 268436421 ]          31              0               31             
[ 268436422 ]          31              0               31             
[ 268436423 ]          31              0               31             
[ 268436424 ]          31              0               31             
[ 268436425 ]          31              0               31             
[ 268436426 ]          31              0               31             
[ 268436427 ]          31              0               31             
[ 268436428 ]          31              0               31             
[ 268436429 ]          31              0               31             
[ 268436430 ]          31              0               31             
[ 268436431 ]          31              0               31             
[ 268436432 ]          31              0               31             
[ 268436433 ]          31              0               31             
[ 268436434 ]          31              0               31             
[ 268436435 ]          31              0               31             
[ 268436436 ]          31              0               31             
[ 268436437 ]          31              0               31             
[ 268436438 ]          31              0               31             
[ 268436439 ]          31              0               31             
[ 268436440 ]          31              0               31             
[ 268436441 ]          31              0               31             
[ 268436442 ]          31              0               31             
[ 268436443 ]          31              0               31             
[ 268436444 ]          31              0               31             
[ 268436445 ]          31              0               31             
[ 268436446 ]          31              0               31             
[ 268436447 ]          31              0               31             
[ 268436448 ]          31              0               31             
[ 268436449 ]          31              0               31             
[ 268436450 ]          31              0               31             
[ 268436451 ]          31              0               31             
[ 268436452 ]          31              0               31             
[ 268436453 ]          31              0               31             
[ 268436454 ]          31              0               31             
[ 268436455 ]          31              0               31             
[ 268436456 ]          31              0               31             
[ 268436457 ]          31              0               31             
[ 268436458 ]          31              0               31             
[ 268436459 ]          31              0               31             
[ 268436460 ]          31              0               31             
[ 268436461 ]          31              0               31             
[ 268436462 ]          31              0               31             
[ 268436463 ]          31              0               31             
[ 268436464 ]          31              0               31             
[ 268436465 ]          31              0               31             
[ 268436466 ]          31              0               31             
[ 268436467 ]          31              0               31             
[ 268436468 ]          31              0               31             
[ 268436469 ]          31              0               31             
[ 268436470 ]          31              0               31             
[ 268436471 ]          31              0               31             
[ 268436472 ]          31              0               31             
[ 268436473 ]          31              0               31             
[ 268436474 ]          31              0               31             
[ 268436475 ]          31              0               31             
[ 268436476 ]          31              0               31             
[ 268436477 ]          31              0               31             
[ 268436478 ]          31              0               31             
[ 268436479 ]          31              0               31             
1024 differences found
EXIT CODE: 1
